entry_time,exit_time,side,lots,entry_price,exit_price,entry_fill,exit_fill,bars_held,reason,gross_pnl,commission,net_pnl,equity_after
2026-02-19 10:00:00+00:00,2026-02-19 15:00:00+00:00,-1,0.04,4995.81,5014.356199008186,4995.660000000001,5014.506199008186,5,sl,-74.18479603274318,0.28,-75.66479603274027,10254.620739496006
2026-02-19 15:00:00+00:00,2026-02-20 06:00:00+00:00,-1,0.04,5005.7,5026.071955487941,5005.55,5026.27195548794,14,sl,-81.48782195176318,0.28,-83.167821951761,10171.452917544244
2026-02-20 06:00:00+00:00,2026-02-20 08:00:00+00:00,-1,0.05,5011.94,5030.3516493555,5011.74,5030.5016493554995,2,sl,-92.05824677750117,0.35000000000000003,-94.15824677749842,10077.294670766745
2026-02-20 08:00:00+00:00,2026-02-20 09:00:00+00:00,-1,0.04,5006.52,5025.170248678977,5006.370000000001,5025.320248678977,1,sl,-74.60099471590729,0.28,-76.08099471590438,10001.21367605084
2026-02-20 09:00:00+00:00,2026-02-20 13:00:00+00:00,-1,0.05,5028.8,5047.9845166304785,5028.650000000001,5048.134516630478,4,sl,-95.92258315239178,0.35000000000000003,-97.77258315238814,9903.441092898453
2026-02-20 13:00:00+00:00,2026-02-20 14:00:00+00:00,-1,0.04,5025.23,5044.256029245186,5025.08,5044.406029245186,1,sl,-76.10411698074677,0.28,-77.58411698074386,9825.856975917708
2026-02-20 14:00:00+00:00,2026-02-20 15:00:00+00:00,-1,0.04,5043.48,5063.337027156244,5043.33,5063.487027156244,1,sl,-79.42810862497936,0.28,-80.90810862497645,9744.948867292731
2026-02-20 15:00:00+00:00,2026-02-20 17:00:00+00:00,-1,0.04,5054.63,5074.755810930799,5054.4800000000005,5074.905810930799,2,sl,-80.50324372319665,0.28,-81.98324372319374,9662.965623569537
2026-02-20 17:00:00+00:00,2026-02-20 20:00:00+00:00,-1,0.03,5066.85,5091.366183914822,5066.700000000001,5091.516183914821,3,sl,-73.54855174446402,0.21,-74.65855174446183,9588.307071825075
2026-02-20 20:00:00+00:00,2026-02-22 23:00:00+00:00,-1,0.04,5079.59,5102.742043025096,5079.4400000000005,5102.8920430250955,2,sl,-92.60817210038294,0.28,-94.08817210038004,9494.218899724694
